frame,clase,confianza,landmarks_ms,cnn_ms,percepcion_ms,filtro_ms
51,3,49.47319030761719,45.07359996205196,9.157599997706711,54.23119995975867,0.006799993570894003
53,1,65.14725685119629,48.18499996326864,3.9937999681569636,52.1787999314256,0.006199989002197981
55,1,91.66954159736633,46.631500008516014,3.050200000870973,49.68170000938699,0.006599992047995329
57,3,66.32292866706848,44.64700003154576,3.0647999956272542,47.71180002717301,0.005400041118264198
59,3,78.18023562431335,47.078699979465455,2.9547999729402363,50.03349995240569,0.006599992047995329
61,3,78.18023562431335,46.60540004260838,2.978599979542196,49.584000022150576,0.004999979864805937
63,3,62.44779825210571,45.016199990641326,2.908899972680956,47.92509996332228,0.007199996616691351
65,3,62.44779825210571,46.797299990430474,3.403899958357215,50.20119994878769,0.008200004231184721
68,1,51.99268460273743,48.601899994537234,3.452699980698526,52.05459997523576,0.003200024366378784
70,1,75.3377914428711,47.70319996168837,3.0389000312425196,50.74209999293089,0.0027999631129205227
72,1,75.3377914428711,51.5173000167124,3.276199975516647,54.793499992229044,0.0038999714888632298
74,1,55.04594445228577,47.086099977605045,3.187399997841567,50.27349997544661,0.0039000296965241432
76,1,55.04594445228577,48.64709998946637,3.1929000397212803,51.84000002918765,0.0029999646358191967
88,1,52.18212604522705,50.43430003570393,3.283499972894788,53.717800008598715,0.002900022082030773
100,1,84.30559039115906,43.5861999867484,3.2328999950550497,46.81909998180345,0.005099980626255274
101,2,35.05115211009979,22.976100037340075,3.258700016885996,26.23480005422607,0.00300002284348011
102,2,67.10969805717468,23.362300009466708,2.705999999307096,26.068300008773804,0.002800021320581436
103,1,61.074668169021606,22.63610000954941,4.859600041527301,27.49570005107671,0.003500026650726795
104,1,97.94802665710449,23.18730001570657,3.042800002731383,26.230100018437952,0.004199973773211241
424,0,99.98958110809326,38.21670002071187,3.0335999908857048,41.250300011597574,0.004099973011761904
425,0,99.93042945861816,20.66380000906065,2.6148000033572316,23.278600012417883,0.004399975296109915
426,0,99.87373948097229,21.951799979433417,2.946400025393814,24.89820000482723,0.003800028935074806
427,0,99.93531107902527,22.43309997720644,2.9985999572090805,25.43169993441552,0.004399975296109915
428,0,99.49043989181519,22.11300004273653,2.6165000163018703,24.7295000590384,0.00400003045797348
429,0,99.14851784706116,22.051899984944612,2.7464000158943236,24.798300000838935,0.0033999676816165447
430,0,99.57782030105591,23.52320001227781,2.673199982382357,26.19639999466017,0.12290000449866056
431,0,99.54720735549927,22.635600005742162,2.840600034687668,25.47620004042983,0.04060001811012626
432,0,99.4568943977356,22.79909997014329,2.6987000019289553,25.497799972072244,0.046200002543628216
433,0,99.6478259563446,23.182200035080314,2.9089999734424055,26.09120000852272,0.045900000259280205
434,0,99.81856942176819,22.802299994509667,2.6730000390671194,25.475300033576787,0.046200002543628216
435,0,99.90444779396057,22.289699991233647,2.70089996047318,24.990599951706827,0.03600004129111767
436,0,99.79279041290283,23.41399999568239,3.3434999641031027,26.75749995978549,0.04469999112188816
437,0,99.8969554901123,24.838499957695603,3.006699960678816,27.84519991837442,0.03609998384490609
438,0,99.91003274917603,22.855599992908537,2.5539000052958727,25.40949999820441,0.029100046958774328
439,0,99.21682476997375,22.7661999524571,3.0116999987512827,25.777899951208383,0.04280003486201167
440,0,99.84427094459534,22.030599997378886,2.5171000161208212,24.547700013499707,0.028499984182417393
441,0,99.86000657081604,23.282799986191094,2.801199967507273,26.083999953698367,0.03029999788850546
442,0,99.93833303451538,22.81390002463013,2.5250999606214464,25.338999985251576,0.026899971999228
443,0,99.90463852882385,23.445900005754083,2.922699961345643,26.368599967099726,0.03130000550299883
444,0,99.95816349983215,22.387700038962066,3.069200029131025,25.45690006809309,0.03290001768618822
445,0,99.80713725090027,22.65980001538992,2.869300020392984,25.529100035782903,0.031000003218650818
446,0,99.87230896949768,23.663400032091886,3.0829000170342624,26.74630004912615,0.0301000545732677
447,0,99.9094009399414,22.338700015097857,2.7338999789208174,25.072599994018674,0.029499991796910763
448,0,99.69929456710815,23.29520002240315,2.942899998743087,26.238100021146238,0.032400013878941536
449,0,99.78644251823425,23.313700046855956,2.6250999653711915,25.938800012227148,0.0295999925583601
450,0,99.88473653793335,24.341800017282367,2.9696000274270773,27.311400044709444,0.029099988751113415
451,0,99.83468055725098,22.21670001745224,2.6434000465087593,24.860100063961,0.02629996743053198
452,1,92.85332560539246,23.405899992212653,2.9887999990023673,26.39469999121502,0.02759997732937336
453,1,91.44968390464783,23.566999996546656,2.9794000438414514,26.546400040388107,0.03370002377778292
454,1,92.04040765762329,21.900199993979186,2.6491000317037106,24.549300025682896,0.03190001007169485
455,1,90.36833643913269,24.16049997555092,3.187499998603016,27.347999974153936,0.036100042052567005
456,1,90.25699496269226,23.490399995353073,2.7935999678447843,26.283999963197857,0.031299947295337915
457,1,93.53787899017334,23.14880001358688,2.7841999544762075,25.932999968063086,0.033400021493434906
458,1,93.54562759399414,22.445600014179945,2.9980000108480453,25.44360002502799,0.04069996066391468
459,1,92.56645441055298,22.95900002354756,2.7823999989777803,25.74140002252534,0.032800016924738884
460,1,92.96756982803345,22.388799989130348,3.1427000067196786,25.531499995850027,0.03460003063082695
461,1,93.14545392990112,23.61380000365898,2.569699950981885,26.183499954640865,0.039700011257082224
462,1,93.25724840164185,23.574099992401898,2.6889999862760305,26.26309997867793,0.026600027922540903
463,1,92.18871593475342,22.564399987459183,2.5010000099428,25.065399997401983,0.02659996971487999
464,1,88.62506747245789,22.729700023774058,2.7849000180140138,25.51460004178807,0.027699978090822697
465,1,88.68547081947327,22.196699981577694,3.0192999984137714,25.215999979991466,0.037999998312443495
466,1,89.25328850746155,22.067399986553937,2.913599950261414,24.98099993681535,0.041700026486068964
467,1,92.26214289665222,24.299199983943254,2.821700007189065,27.12089999113232,0.030499999411404133
468,1,91.77424907684326,24.020500015467405,2.944900013972074,26.96540002943948,0.029199989512562752
469,1,93.63725781440735,22.883899975568056,2.6948999729938805,25.578799948561937,0.0418000272475183
470,1,93.48819851875305,22.210300026927143,2.6760000037029386,24.886300030630082,0.0315000070258975
471,1,94.18114423751831,23.248200013767928,2.9755000141449273,26.223700027912855,0.035299977753311396
472,1,93.06036233901978,23.752400011289865,3.20320000173524,26.955600013025105,0.03389996709302068
473,1,92.6232099533081,23.209799954202026,3.0329000437632203,26.242699997965246,0.031100003980100155
474,1,89.2773449420929,22.407200012821704,2.6753999991342425,25.082600011955947,0.02719997428357601
475,1,94.34945583343506,23.900299973320216,2.9762000194750726,26.87649999279529,0.027799978852272034
476,1,93.98075938224792,23.8346999976784,2.69210000988096,26.52680000755936,0.040300015825778246
477,1,93.68520379066467,24.36179999494925,2.98250000923872,27.34430000418797,0.03479997394606471
478,1,99.43339824676514,22.451400000136346,2.9003999661654234,25.35179996630177,0.04810001701116562
479,1,97.23970890045166,22.155399958137423,2.606399997603148,24.76179995574057,0.029199989512562752
480,1,69.52584385871887,22.057000023778528,2.681099984329194,24.738100008107722,0.002400018274784088
481,1,48.98816645145416,21.91589999711141,2.584200003184378,24.500100000295788,0.002500019036233425
482,0,89.89905118942261,23.801599978469312,3.1290999613702297,26.930699939839542,0.03920000744983554
483,0,99.65962767601013,23.31770001910627,2.802699978929013,26.120399998035282,0.035299977753311396
484,0,99.82454776763916,21.936299977824092,2.5387999485246837,24.475099926348776,0.027699978090822697
485,0,99.8824417591095,23.81969999987632,3.3020999981090426,27.121799997985363,0.033999967854470015
486,0,99.9118983745575,21.832500002346933,2.617000020109117,24.44950002245605,0.029099988751113415
487,0,99.9118983745575,23.61550001660362,2.520599984563887,26.136100001167506,0.050799979362636805
